Customer Name,Total Spending,Customer Tenure,Returns,Churn
Aaron Acosta,2918,1281,1.0,0
Aaron Alexander,6777,1311,2.0,1
Aaron Armstrong,2067,173,1.0,0
Aaron Austin,3514,988,2.0,0
Aaron Bailey,1959,1307,1.0,0
Aaron Barber,3637,1336,0.0,1
Aaron Barnett,2102,600,1.0,0
Aaron Barry,5499,1326,2.0,0
Aaron Bautista,7057,1293,5.0,0
Aaron Bond,5006,1341,5.0,0
Aaron Bradley,5488,1264,6.0,1
Aaron Brady,3335,1188,3.0,0
Aaron Brooks,2272,1039,2.0,0
Aaron Brown,1652,1212,3.0,0
Aaron Campbell,2587,1023,1.0,1
Aaron Cannon,5210,1271,2.0,0
Aaron Cantrell,7489,1336,3.0,0
Aaron Carroll,7558,1311,2.0,1
Aaron Chapman,2634,1075,2.0,0
Aaron Clark,5621,1149,4.0,0
Aaron Clayton,4390,778,2.0,0
Aaron Cochran,5385,854,1.0,0
Aaron Colon,6585,1305,4.0,0
Aaron Cook,4054,1349,2.0,0
Aaron Curry,2937,1294,1.0,0
Aaron David,2481,1110,1.0,1
Aaron Drake,2066,1249,3.0,1
Aaron Dudley,3841,716,3.0,1
Aaron Ellis,2928,907,1.0,0
Aaron Erickson,7865,620,1.0,0
Aaron Esparza,3817,1339,0.0,0
Aaron Ferguson,1560,413,0.0,0
Aaron Fields,6689,945,2.0,1
Aaron Floyd,1795,979,2.0,0
Aaron Flynn,3247,680,2.0,0
Aaron Ford,4164,1304,9.0,0
Aaron Fox,7434,1223,3.0,1
Aaron Franklin,6991,1319,5.0,0
Aaron Garcia,2643,1004,1.0,0
Aaron Glover,5303,1226,2.0,0
Aaron Gonzalez,2086,1045,3.0,1
Aaron Gray,3206,1204,2.0,0
Aaron Green,9295,1353,5.0,0
Aaron Griffin,4445,1191,1.0,0
Aaron Guzman,7271,777,0.0,0
Aaron Hancock,4791,1294,4.0,0
Aaron Hansen,6668,1324,2.0,0
Aaron Harrell,8843,1223,6.0,0
Aaron Herman,4991,1085,4.0,0
Aaron Herrera,2718,1036,3.0,0
Aaron Hill,1200,1347,4.0,1
Aaron Holt,2395,1217,5.0,0
Aaron Houston,6188,1234,3.0,0
Aaron Howell,2423,1202,2.0,0
Aaron Hubbard,4374,1237,2.0,0
Aaron Huerta,4845,1276,2.0,0
Aaron Hull,5430,1087,3.0,1
Aaron Ingram,5596,1291,1.0,0
Aaron James,4299,1018,2.0,0
Aaron Jones,6499,1335,6.0,0
Aaron Kaiser,2332,1123,1.0,0
Aaron Kelley,2377,1299,2.0,1
Aaron Kelly,6217,1071,2.0,0
Aaron Kennedy,6009,1141,3.0,1
Aaron Krueger,5445,1156,2.0,0
Aaron Lee,15669,1070,8.0,0
Aaron Lowe,2903,1326,1.0,0
Aaron Martin,4920,675,2.0,0
Aaron Martinez,14910,1313,7.0,1
Aaron May,405,1250,1.0,0
Aaron Mccoy,3552,1175,2.0,0
Aaron Mcintyre,796,1177,0.0,0
Aaron Mclaughlin,1556,1006,2.0,1
Aaron Mcneil,7816,1314,1.0,0
Aaron Miranda,5817,1314,4.0,0
Aaron Moody,1158,275,1.0,0
Aaron Moore,13164,1000,5.0,1
Aaron Morgan,1998,1082,1.0,0
Aaron Morris,2392,1306,2.0,1
Aaron Murray,1656,1157,1.0,1
Aaron Myers,5837,1293,1.0,0
Aaron Neal,40,1030,0.0,0
Aaron Nielsen,5647,1277,4.0,0
Aaron Obrien,8362,1341,6.0,0
Aaron Oneill,2102,729,2.0,0
Aaron Padilla,1239,1350,3.0,0
Aaron Palmer,4939,1284,3.0,0
Aaron Parrish,5643,1333,5.0,0
Aaron Perez,3485,1344,2.0,0
Aaron Peters,2574,686,2.0,0
Aaron Peterson,968,1148,4.0,0
Aaron Potts,2148,1177,4.0,0
Aaron Ramirez,304,992,0.0,0
Aaron Ramos,3685,946,2.0,0
Aaron Riley,3326,1337,2.0,0
Aaron Robbins,6727,1180,4.0,0
Aaron Rose,1299,1171,0.0,1
Aaron Ross,3697,1254,2.0,0
Aaron Santana,6295,1343,3.0,1
Aaron Simmons,2732,1183,4.0,0
Aaron Smith,12011,1093,10.0,0
Aaron Stafford,3797,774,2.0,0
Aaron Stevens,4820,1339,0.0,0
Aaron Sullivan,1852,1149,2.0,0
Aaron Tate,1508,1232,1.0,1
Aaron Taylor,5364,1107,0.0,1
Aaron Thomas,474,1336,1.0,1
Aaron Torres,4087,1316,2.0,0
Aaron Underwood,5647,958,0.0,0
Aaron Walker,4368,1353,1.0,0
Aaron Walsh,6473,1325,1.0,0
Aaron Walters,1643,955,1.0,0
Aaron Ward,745,1107,1.0,1
Aaron Washington,3506,574,6.0,0
Aaron Waters,5403,1349,4.0,1
Aaron Webb,5052,693,1.0,0
Aaron Wheeler,6773,1175,2.0,0
Aaron Williams,33323,1336,19.0,1
Aaron Wilson,33250,1288,11.0,1
Aaron Wolf,11343,1243,5.0,0
Aaron Wong,1420,1130,1.0,0
Aaron Woodward,4547,470,1.0,1
Aaron Yates,5193,1321,1.0,0
Aaron York,7648,1294,4.0,0
Abigail Acosta,3888,1207,1.0,0
Abigail Allen,8107,1222,5.0,0
Abigail Baker,814,767,1.0,0
Abigail Bernard,4117,925,3.0,0
Abigail Blankenship,4684,1176,2.0,1
Abigail Bowman,2553,1328,3.0,0
Abigail Brown,3137,1169,2.0,0
Abigail Butler,3533,1312,1.0,0
Abigail Calderon,4567,1348,1.0,0
Abigail Caldwell,1554,738,1.0,0
Abigail Campbell,4059,1275,2.0,0
Abigail Cardenas,2805,1243,1.0,0
Abigail Chen,2821,1256,1.0,0
Abigail Christensen,2302,1296,1.0,1
Abigail Clayton,5957,1205,1.0,0
Abigail Cross,3917,1236,3.0,0
Abigail Garner,3779,940,1.0,0
Abigail Gilmore,2123,954,3.0,0
Abigail Johnson,13279,1320,4.0,1
Abigail Jones,5797,902,2.0,0
Abigail Jordan,7745,1249,3.0,0
Abigail Mahoney,5481,1263,1.0,0
Abigail Martin,500,935,0.0,0
Abigail Martinez,5837,1337,3.0,1
Abigail Mcguire,950,1246,1.0,0
Abigail Mendoza DDS,1388,1287,4.0,0
Abigail Meyer,1606,1307,1.0,1
Abigail Miranda,756,676,1.0,0
Abigail Morgan,2515,1283,0.0,0
Abigail Morris,1486,1351,1.0,0
Abigail Norris,4822,1236,3.0,0
Abigail Palmer,2706,1075,1.0,0
Abigail Parker,1815,1333,1.0,0
Abigail Porter,6257,1282,2.0,0
Abigail Rice,4645,1116,3.0,0
Abigail Salazar,1450,1353,3.0,1
Abigail Simmons,2827,1274,0.0,0
Abigail Small,9381,1324,5.0,0
Abigail Thompson,7198,1286,4.0,0
Abigail Todd,1455,518,0.0,1
Abigail Torres,5365,1285,3.0,0
Abigail Wall,2346,1307,2.0,0
Abigail Whitehead,6780,1104,6.0,0
Abigail Williams,4243,1319,3.0,0
Abigail Wood,8272,1262,3.0,0
Abigail Woods,3113,1311,1.0,0
Adam Anderson,14897,1353,6.0,0
Adam Andrews,5496,1342,2.0,0
Adam Anthony,4748,1213,3.0,0
Adam Archer,9644,1296,4.0,0
Adam Armstrong,3724,1094,2.0,1
Adam Atkinson,2924,612,0.0,0
Adam Avila,3749,1057,1.0,0
Adam Baker,10844,1255,7.0,0
Adam Baldwin,4901,1237,2.0,0
Adam Ballard,6107,1281,3.0,1
Adam Barnett,6884,1161,2.0,0
Adam Beck,6248,1051,3.0,0
Adam Bell,4589,1324,3.0,0
Adam Benton,231,7,1.0,0
Adam Bradford,7629,1261,2.0,0
Adam Brandt,3239,1193,0.0,0
Adam Bryant,3917,1348,2.0,0
Adam Buck,2398,1242,1.0,0
