Customer Name,Recency,Frequency,Monetary
Aaron Acosta,44,5,13158
Aaron Alexander,49,8,28677
Aaron Armstrong,27,4,9471
Aaron Austin,35,5,16750
Aaron Bailey,3,5,14555
Aaron Barber,502,4,15844
Aaron Barnett,440,3,7724
Aaron Barry,217,4,12435
Aaron Bautista,48,11,36034
Aaron Bond,140,7,13699
Aaron Bradley,25,9,29837
Aaron Brady,161,6,10029
Aaron Brooks,415,2,6436
Aaron Brown,613,3,8928
Aaron Campbell,17,3,6840
Aaron Cannon,95,5,9613
Aaron Cantrell,73,11,22487
Aaron Carroll,657,8,18768
Aaron Chapman,563,5,14751
Aaron Clark,104,10,30468
Aaron Clayton,10,5,16536
Aaron Cochran,178,7,23319
Aaron Colon,11,6,16263
Aaron Cook,313,4,7047
Aaron Curry,244,5,12497
Aaron David,617,2,7237
Aaron Drake,106,4,18619
Aaron Dudley,9,6,19411
Aaron Ellis,54,4,7835
Aaron Erickson,15,6,14700
Aaron Esparza,339,4,12421
Aaron Ferguson,336,2,8536
Aaron Fields,380,5,14874
Aaron Floyd,119,4,10144
Aaron Flynn,26,6,14958
Aaron Ford,14,15,43133
Aaron Fox,496,8,15189
Aaron Franklin,4,9,23038
Aaron Garcia,325,3,5897
Aaron Glover,514,5,17314
Aaron Gonzalez,36,4,12807
Aaron Gray,947,3,7527
Aaron Green,33,10,33118
Aaron Griffin,221,6,16079
Aaron Guzman,123,7,19442
Aaron Hancock,61,8,28276
Aaron Hansen,115,6,16760
Aaron Harrell,243,14,46518
Aaron Herman,64,8,21790
Aaron Herrera,456,5,12395
Aaron Hill,277,5,15857
Aaron Holt,53,7,22601
Aaron Houston,729,5,12852
Aaron Howell,175,3,8097
Aaron Hubbard,254,5,12824
Aaron Huerta,78,6,17899
Aaron Hull,30,7,20034
Aaron Ingram,311,4,9146
Aaron James,250,4,4482
Aaron Jones,122,13,32859
Aaron Kaiser,283,4,9198
Aaron Kelley,162,5,15737
Aaron Kelly,403,5,12824
Aaron Kennedy,101,8,23611
Aaron Krueger,251,6,14148
Aaron Lee,31,20,43115
Aaron Lowe,197,5,13868
Aaron Martin,197,5,15607
Aaron Martinez,491,16,41973
Aaron May,133,2,3601
Aaron Mccoy,263,5,11366
Aaron Mcintyre,271,2,5736
Aaron Mclaughlin,621,4,10076
Aaron Mcneil,709,7,18603
Aaron Miranda,257,8,19836
Aaron Moody,81,4,9828
Aaron Moore,79,13,41881
Aaron Morgan,874,3,9744
Aaron Morris,291,9,23943
Aaron Murray,258,5,16586
Aaron Myers,5,7,21509
Aaron Neal,1030,1,1045
Aaron Nielsen,234,9,17802
Aaron Obrien,166,13,36117
Aaron Oneill,667,3,6378
Aaron Padilla,656,4,11194
Aaron Palmer,66,9,26157
Aaron Parrish,176,8,23037
Aaron Perez,372,6,15588
Aaron Peters,251,3,9793
Aaron Peterson,24,5,10491
Aaron Potts,505,5,9461
Aaron Ramirez,992,1,1559
Aaron Ramos,79,8,23870
Aaron Riley,130,4,8019
Aaron Robbins,348,6,14060
Aaron Rose,765,4,12584
Aaron Ross,515,4,14251
Aaron Santana,237,7,18321
Aaron Simmons,27,4,11061
Aaron Smith,6,21,69298
Aaron Stafford,155,6,21548
Aaron Stevens,829,4,8756
Aaron Sullivan,667,6,21604
Aaron Tate,84,3,7994
Aaron Taylor,172,6,18622
Aaron Thomas,100,2,7334
Aaron Torres,126,5,13474
Aaron Underwood,164,4,12256
Aaron Walker,97,4,8756
Aaron Walsh,14,9,22255
Aaron Walters,428,4,8495
Aaron Ward,546,3,10164
Aaron Washington,77,6,14965
Aaron Waters,405,6,21320
Aaron Webb,154,6,18314
Aaron Wheeler,165,6,8748
Aaron Williams,12,38,107520
Aaron Wilson,0,40,121239
Aaron Wolf,1,13,40889
Aaron Wong,136,2,5942
Aaron Woodward,161,3,8444
Aaron Yates,239,6,14754
Aaron York,283,7,14774
Abigail Acosta,223,7,21165
Abigail Allen,21,8,23646
Abigail Baker,767,1,1162
Abigail Bernard,69,5,13788
Abigail Blankenship,201,8,20054
Abigail Bowman,202,10,23011
Abigail Brown,81,5,14378
Abigail Butler,240,3,5980
Abigail Calderon,454,6,15040
Abigail Caldwell,379,3,8482
Abigail Campbell,178,4,11936
Abigail Cardenas,802,3,7561
Abigail Chen,920,3,5906
Abigail Christensen,341,5,15276
Abigail Clayton,293,7,31002
Abigail Cross,35,9,22290
Abigail Garner,568,3,8320
Abigail Gilmore,348,4,14224
Abigail Johnson,44,12,29063
Abigail Jones,518,5,15748
Abigail Jordan,64,9,29234
Abigail Mahoney,1,7,20005
Abigail Martin,935,1,4658
Abigail Martinez,303,7,14523
Abigail Mcguire,474,2,3777
Abigail Mendoza DDS,36,4,9057
Abigail Meyer,82,5,12846
Abigail Miranda,676,1,2217
Abigail Morgan,64,2,5371
Abigail Morris,688,2,3506
Abigail Norris,112,6,19369
Abigail Palmer,360,4,11357
Abigail Parker,93,4,10346
Abigail Porter,114,7,16171
Abigail Rice,36,6,11774
Abigail Salazar,388,5,15739
Abigail Simmons,688,4,12527
Abigail Small,263,8,27203
Abigail Thompson,28,10,30155
Abigail Todd,518,1,4165
Abigail Torres,386,5,16210
Abigail Wall,595,5,20717
Abigail Whitehead,41,7,15029
Abigail Williams,77,6,15763
Abigail Wood,18,9,26304
Abigail Woods,580,5,6294
Adam Anderson,287,16,39970
